theta,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13
0,7.673800,7.247411,4.762693,8.171219,6.0050443,4.969872,5.7141323,5.2550744,4.2537353,3.5643218,0.2874061,1.061945,-32.1732679
0.05,7.035453,6.653626,4.309984,7.511664,5.4606032,4.555357,5.1742276,4.7499732,3.8555848,3.2523734,3.5708778,4.285454,2.1590621
0.1,6.365581,6.030791,3.848484,6.819437,4.8898188,4.121439,4.6083512,4.2271963,3.4424404,2.9319108,3.4368453,4.088351,2.3859584
0.15,5.661047,5.376151,3.371107,6.091242,4.2903721,3.666446,4.0141596,3.6832892,3.0136955,2.6029704,3.1568696,3.741883,2.3427504
0.2,4.918254,4.686580,2.871736,5.323255,3.6599709,3.188760,3.3894121,3.1151478,2.5688442,2.2654917,2.8032430,3.318095,2.1757203
0.25,4.133297,3.958642,2.346428,4.511135,2.9968532,2.687328,2.7327781,2.5213329,2.1077616,1.9191995,2.3982856,2.839221,1.9301442
0.3,3.302875,3.189035,1.795610,3.650405,2.3012371,2.162844,2.0462455,1.9051123,1.6317013,1.5634218,1.9533074,2.316724,1.6262113
0.4,1.528959,1.530367,0.682811,1.782355,0.8643605,1.069246,0.6694062,0.6923811,0.6734622,0.8170073,0.9867355,1.184283,0.8847441
0.5,0.000000,0.000000,0.000000,0.000000,0.0000000,0.000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.000000,0.0000000
